route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
170130,20193012multint-1111100,65207283-20193012multint-1111100,"Du Versant-Nord/Sainte-Foy Centre/Saint-Louis (Ouest)",,1,,01300585,1
170180,20193012multint-1111100,65204360-20193012multint-1111100,"Gare du Palais (Est)",,0,,01800323,1
170110,20193012multint-1111100,65206305-20193012multint-1111100,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100722,1
170110,20193012multint-1111100,65206242-20193012multint-1111100,"Gare fluviale (Est)",,0,,01100725,1
175811,20193012multint-1111100,65208288-20193012multint-1111100,"Lebourgneuf / Sainte-Foy Centre (Sud)",,1,,58110092,2
173841,20193012multint-1111100,65206676-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,38410225,2
172501,20193012multint-1111100,65205043-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,25010455,2
173801,20193012multint-1111100,65207176-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,38010185,2
172921,20193012multint-1111100,65204326-20193012multint-1111100,"Place Jacques-Cartier (Est)",,0,,29210013,2
175501,20193012multint-1111100,65207583-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,55010104,2
170550,20193012multint-1111100,65206822-20193012multint-1111100,"Terminus Beauport (Sud)",,1,,05500446,2
172381,20193012multint-1111100,65205079-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23810200,2
172381,20193012multint-1111100,65205072-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23810200,2
170520,20193012multint-1111100,65208516-20193012multint-1111100,"Terminus Charlesbourg (Ouest)",,1,,05200239,1
173301,20193012multint-1111100,65206379-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33010409,1
171360,20193012multint-1111100,65205322-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,13600180,2
175301,20193012multint-1111100,65207618-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,53010109,2
175721,20193012multint-1111100,65208296-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,57210041,2
174799,20193012multint-1111100,65207141-20193012multint-1111100,"École secondaire La Camaradière (Sud)",,1,,47990028,2
